timestamp_utc,transaction_hash,confirmed,block_height,block_hash,wallet_input_addresses,wallet_output_addresses,wallet_input_sats,wallet_output_sats,wallet_net_sats,wallet_net_btc,transaction_fee_sats,transaction_fee_btc,input_count,output_count,size_bytes,weight,version,locktime,source_url
2017-11-16T10:55:46Z,4ff0593274880ad503c2f71982c1108cf2f4fe33262595082fab9e3ee6f59a9a,True,494605,000000000000000000711f9ad5a5e967488438ef879b8cd21f745f9113bfeb23,,37iNXzmzfEy24LujzVvjDuAEQ1r2au8Xto,0,450000,450000,0.0045,126413,0.00126413,1,1,338,1352,2,0,https://mempool.space/tx/4ff0593274880ad503c2f71982c1108cf2f4fe33262595082fab9e3ee6f59a9a
2017-12-14T10:55:27Z,9f68d6ee3e7381ecd7e0bc9bc665dc244c8bee3a31702a53b1b28f5cc7ab3fda,True,499239,0000000000000000006d5172d547b7731c1c69c0ef75901dbc04110f4728f1e3,,3MsKunajhP5rpiJMURu9ZcWgCKZ5PRL26t,0,6080890,6080890,0.0608089,5508361,0.05508361,64,77,23146,56083,1,0,https://mempool.space/tx/9f68d6ee3e7381ecd7e0bc9bc665dc244c8bee3a31702a53b1b28f5cc7ab3fda
2026-03-11T18:26:45Z,72e82ba15865acaaa7dc917dc0a98ef5a144a63ba0844bcd5fff2745c9792caf,True,940296,00000000000000000000a26f6a0ee2f3342eb2a8d0efdef38fc2448c8023f6cd,3MsKunajhP5rpiJMURu9ZcWgCKZ5PRL26t,3L25BzKLYxAB3rTfsaLUoQywSp6xLPvr7a,6080890,5981685,-99205,-0.00099205,334,0.00000334,1,2,246,657,2,0,https://mempool.space/tx/72e82ba15865acaaa7dc917dc0a98ef5a144a63ba0844bcd5fff2745c9792caf
