year,transactions,sales,eth bought,eth sold,stake eth,total sell price usd,total usd buy price,total profit usd,total tax usd,sender fees eth,ending balance eth
2017,16,7,30.3924756868,2.541024,0,1205.57496712,839.35104768,366.22391944,91.5559798600,0.0023625,27.8490891868
2018,0,0,0,0,0,0,0,0,0,0,27.8490891868
2019,1,0,0.7907,0,0,0,0,0,0,0,28.6397891868
2020,1,1,0,2,0,775.76,660.64,115.12,28.7800,0.002961000045948,26.636828186754052
2021,1,0,0.099874,0,0,0,0,0,0,0,26.736702186754052
2022,0,0,0,0,0,0,0,0,0,0,26.736702186754052
2023,11,8,1.60068747,3.34314952,0,6165.8278535296,1104.3091494464,5061.5187040832,1265.379676020800,0.010359592,24.983880544754052
2024,26,11,0.000150836,2.45724046,20,8000.1388088253,811.6756687472,7188.4631400781,1797.115785019525,0.004368143922254814,2.522422776831797186
2025,8,5,0.01941936,1.19196860,0,3801.3092052445,393.7310679520,3407.5781372925,851.894534323125,0.000378596122609427,1.349494940709187759
