שנת מס,מספר פעולות,מספר מכירות או מימושים,מספר אירועים חייבים במס,ETH שהתקבל,ETH שנשלח,ETH שהועבר לסטייקינג,ETH שהורווח מסטייקינג,הכנסה מסטייקינג בדולר,מס משוער על סטייקינג בדולר,תמורת מכירות בדולר,עלות מקור בדולר,רווח או הפסד הון בדולר,מס משוער בדולר,מס משוער כולל בדולר,עמלות ששולמו ב־ETH,עמלות ששולמו בדולר,יתרת ETH בתחילת השנה,יתרת ETH בסוף השנה,מספר שורות עם הערות,מספר שורות ללא מזהה עסקה
2017,16,7,7,30.3924756868,2.541024,0,0,0,0,1205.57496712,839.35104768,366.22391944,91.55597986,91.55597986,0.0023625,4.401691875,0,27.8490891868,2,0
2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.8490891868,27.8490891868,0,0
2019,1,0,0,0.7907,0,0,0,0,0,0,0,0,0,0,0,0,27.8490891868,28.6397891868,0,0
2020,1,1,1,0,2,0,0,0,0,775.76,660.64,115.12,28.78,28.78,0.002961000045948,5.51678723560802,28.6397891868,26.636828186754052,0,0
2021,1,0,0,0.099874,0,0,0,0,0,0,0,0,0,0,0,0,26.636828186754052,26.736702186754052,0,0
2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.736702186754052,26.736702186754052,0,0
2023,11,8,8,1.60068747,3.34314952,0,0,0,0,6165.8278535296,1104.3091494464,5061.5187040832,1265.3796760208,1265.3796760208,0.010359592,19.3014738348,26.736702186754052,24.983880544754052,2,0
2024,26,11,11,0.000150836,22.45724046,20,0.254079136217546136,729.10878882373652688873,182.2771972059341317221825,8000.1388088253,811.6756687472,7188.4631400781,1797.115785019525,1979.3929822254591317221825,0.004368143922254814,8.138507348749061,24.983880544754052,2.522422776831797186,1,0
2025,8,5,5,0.01941936,1.1919686,0,0.576123989232662903,1752.75787847872914145,438.1894696196822853625,3801.3092052445,393.731067952,3407.5781372925,851.894534323125,1290.0840039428072853625,0.000378596122609427,0.7053813658397535,2.522422776831797186,1.349494940709187759,1,0
