תאריך,כיוון,מקור,תיאור,אסמכתא,חובה,זכות,סכום,יתרה,עמוד
04/06/2017,יוצאת,00700,הע. אינטרנט י,2000,6000.00,לסער,6000.00,12302.20,3
12/06/2017,יוצאת,00700,הע. אינטרנט י,31971,6000.00,לסער,6000.00,7621.73,3
26/07/2017,יוצאת,00700,הע. אינטרנט י,16337,18000.00,לסער,18000.00,9627.10,4
03/12/2017,יוצאת,00700,הע. אינטרנט י,27791,2760.00,לסער,2760.00,5595.23,5
10/12/2017,יוצאת,00700,הע. אינטרנט י,135627,2300.00,לסער,2300.00,5187.23,5
12/12/2017,יוצאת,00700,הע. אינטרנט י,38809,3000.00,לסער,3000.00,2007.23,6
