timestamp_utc,transaction_hash,confirmed,block_height,block_hash,wallet_input_addresses,wallet_output_addresses,external_input_addresses,external_output_addresses,wallet_input_sats,wallet_output_sats,external_input_sats,external_output_sats,wallet_net_sats,wallet_net_btc,transaction_fee_sats,transaction_fee_btc,input_count,output_count,size_bytes,weight,version,locktime,source_url
2017-11-16T10:55:46Z,4ff0593274880ad503c2f71982c1108cf2f4fe33262595082fab9e3ee6f59a9a,True,494605,000000000000000000711f9ad5a5e967488438ef879b8cd21f745f9113bfeb23,,37iNXzmzfEy24LujzVvjDuAEQ1r2au8Xto,32hTCQ666c6ht2pXag7eb6JJbx3JsqYWs6,,0,450000,576413,0,450000,0.0045,126413,0.00126413,1,1,338,1352,2,0,https://mempool.space/tx/4ff0593274880ad503c2f71982c1108cf2f4fe33262595082fab9e3ee6f59a9a
2017-12-14T10:55:27Z,9f68d6ee3e7381ecd7e0bc9bc665dc244c8bee3a31702a53b1b28f5cc7ab3fda,True,499239,0000000000000000006d5172d547b7731c1c69c0ef75901dbc04110f4728f1e3,,3MsKunajhP5rpiJMURu9ZcWgCKZ5PRL26t,31yPiLiwu8mmxBiaLN7iTFBMQf9FEPZ3Gz;321jeoHargwf3fDYiN1KBphDt2PUAzP48Q;323XqSo4KNNnp3LjPMmanagQ8adS7UZFbg;32MCMdDjTcVrUxSPpmfk6AHUTe7UBeFt4H;337DgQHmJxhcjyQwmLU2YnDM89W66jiLEw;33DKK77JeiFoxiJ5s8VQtyiRUJQ9ZQmgm2;349WiEot2GrzRk5MSEZGzkQhBj239BzXvS;34jENq8ThVJ9rXxrH28piZanMwHVKpSnDw;35RrAEGUHYJ6rQVCBxQpTPcMjyhy3nqcJF;35bXmfTwF3pBgu7j5VJRYoB2FVkymsTt82;362NkL8DY2DpsD487Ndypnj6ncaXZAqfc9;36QEDHDVMA5RmuhExYy5SoKs8VF9myAmV5;36ZorM6VLCWD4te9T1DbqaHKRKQGNWMHo8;36dgGbYTFvQYbaSTHdKKC5f1AAwRq6qBRC;36yjsjMoLWaPKzgx6JXrY3LVs3LeWzarhf;37h6wPnUvy8NfbptkeUhevrSx6PQV4u17f;384cRPh8JE81nub8zgZNYjemJXGKeuYWdR;38U7oKtSVMc3yVQJbNShXUAmcTgH6zdyH3;38izcQSnNHo3Yg3Y4NygNAMTey8kz8egj8;3A3baQ2fT7bdubYb4ZkceTtsWYGnKfkyA7;3AWF9CNTW9C2qxiAPSgP17iHjYGgTbsbxF;3BKgsmStE8MLCB1mr7C3Xyhs2xDVK8DPYN;3BSRfC6PX1PvMTtHmXwrzLLhxiXgRSErr8;3BeVUQh8W75X6k8vV2RLD2JE9mTWJ5Mc4H;3Bnm4LPY6Vnze74Vd5TSiHW31YSLyZUhP4;3CcDmVxbuCMpkHhMv4gbA5oQVfzU4hrW7J;3DFKa6frwQLN7nRKfYadzore964Ef2zrNu;3F1WYGpFGzC9y2TohPuHtDuEMzbPKZ3D2u;3FVdrNfiGESnUn9QrUyYmow62Na7tZEB6d;3FbX6yH7Ud3fHwfec9TWhqpuK5YKSXSpix;3FtdzDxBy9gVT1bC9EcX15aNcxViJksDX3;3GA6LE9UALmYvB6ADaryEudg7ZZNtcfsge;3GTXgWJbiT532duHrstboW1qbxC1FtoKdC;3GTstMTdwc4bv1eAtevdXDPyzv8pbnQ22X;3GkvvcHhpA6vcb8V2nL49HrLQJZnUPPULj;3Gyc4xP4FjJ2cKjWVUJ8sPedg8s7L7vR4K;3HcLPZfEDyKkYJ4KsneGWGEHZjyJ8SMuaz;3HqiHJwjCt3gfgBnN9GENYXMorHH4rWAti;3J7eUQMqnonrqdEpm4rTC48E4eBPDwyTES;3JLZqcH28hCfD2812JBz6rLpbJ1zakYknm;3JiMcknzPkzNNav6A5XzznUNwnE8SwxFDi;3JmjJW2WtfE3a1MicpGRe8NznwM8VcBW7J;3JsgJ9HeDkvJvnviHgMQx4medSNxjQXXFu;3KVQuXkbff3Kve31L9DFyoGY5du1oDjXHq;3L5CHc9apaxb3T2nRH7EjtwpJjCyLftJUv;3LRu2yL5UDvMzF2gMxHLPMPbVNQQZuThhL;3M1AH1HunL4kxSVpEok4oxi9XBzPL9awAt;3MvbhRSRRwTzCXstYTVWiT3rdRum8Fn5Xa;3MyNye6cPsnA67o2oy2AdtvtGBHmqW35NG;3NBvWWeR9ygapugpdeteBs1HHZqpENzZYe;3NbKW2k5DcYE9F27imhhv8Y6nWN2r3Uo1K;3NuXszwjNnk21Wedm7s1pvHEa93rxBTjCm;3PQJ5r3uRisgMVapik4myqt9M5TXsBMGz2;3PbuzPNgQRN3KaiJznXQ4nwke9xnJRTdzE;3PteubmoLEfGbLac2z81Sg6ZKjiooaYYtd;3QeyiprJFGuyVxjvhxEETNQ9yxujxumHBS;3QneUsMw66vDU4izj4n3xpDsLSGfKujLWD,12B44C7q8YVMDNWiEEgX4toBvvFuXmEZMT;12Cd5ZHcCf8Gg59ki52H8isnVEJmkpqFNQ;12Kv93WpuznTLv4w51jYf1RVhuW7zECF67;12QfoxixkAtW7BB2v1cBWqFms7eyD74Fga;12Rhe3H5foe5wunuUjwKE8qAE3vWi278G1;12iGJ7ABq2ZSbhFECwpDQxRoWtpveUSfef;12kz2v4WnFWSYWaFLTJWCwqBeRSXYU5gTf;1357hdpePRyTXdvo7sKRY6JR9RVg2dgrYr;13VgPznQM45Lb1aVSYSQ52TsfwWFyTeVTz;13t2hdM4tiXHUTft9YJgscWF5a77KWPkmD;146F2EAxSMoVaDqToGg4HiqqgWda3Gw67g;14vBNGnWrNcoGvxzhV8yyESFX5w7neEoYT;157GJGL1vcFhaPgSv8BvjnHv9JPe1kR9ZR;15mtrRmcbLrbAi363swsBRgNSYYw1ed1TA;16LBcqYhwqyNXs4hwJvJk5YXTjYEGrDs3N;16kTefTVkhLXfJeKRmFN1CQTMChyXMXnJm;17d3Jd62ax5ruF6vgbAQDhybeJosspS2HD;17hdrieamRGzZa2xAz4VSVrr7GXvT5jp7n;189mzcAMSWWueQMM3cpvuLfsPNo1QQtDtn;18JuDVPbtTzisAESrdyG6RxZPu7BgKAcxH;18jnW9Dem4SxtjqukaLouVdAWpWuBxWeCT;19LSm2Lj2uMopzfyhGBu9xALvb1c9kSzDT;19YyE8bbt789mMQyv2ZUP3osVrKQ1gfpvo;19pGURj4Y9ToENoaozrtdV7a6hRfjXC1pi;19wZEFRiF1kJgocUxsGyjKNKcVXNtKmf92;1AWK6pKFaduRF6MZTCaa3hrjaz8ro4mfyv;1AqADhNEDJXreX9YY7yd2yVxipejaZUBe;1B6MFyXRtANUMSdzmWEKQz9iKCAecZ2yPn;1BJJsDpMow5dfM6s6fJhGcdtjoygBFUk66;1BdZCLYVKov1PS9Q2xNo7hqAUucuDg5bw6;1CEYgviidCcf4GcFitWc4rpgEYFfkcZ8iu;1DGTyBeYSXqyERPTbGfrLLWQfDGNV3zcnJ;1DLyZbNttFVtAXp4jWfL7SwTH9ic1xUgty;1DUEnY6xtQNuQSHt39AF7wDByjisLFrLsc;1DyYt7k6nwBLUeZXGWWsXzejXqZSGDnfAz;1EyTjvh1svXFiSf3RG7CasRCCJyRdQgSa8;1FNn7SmG1oHApzscX9V5gNmdkTSxeseRVc;1FUVnzq6FpHY8EkXwz4bEBdQemPu57MVzp;1G3DJKJxeEdvT1AeD73gTbFy7UKiNVHt3v;1GVNEbLGFweHPCP9eDLjTccyZRUigNEoYp;1GuS9DVkGQSMFy6YWdmH9c3oE6DjQ7pyE2;1HFhRcQwKTWmPX6TjZGpWdr4zLysr8hVBj;1HJGVjFfgJWDf8vcNb7WxjHfpUSjqT6Sxn;1J4TmW4SCWStAeCDVu9VnESuGQRzjiePdK;1JX3rT6csr4SWumKZtrus3DYEuJE9qg3Dh;1KL2aJwRw8WkqWwNGbVrShzhfzaQV5bmjz;1KfqjALr6uzJPv1fGrvjBcGpvSUxJuvi4W;1KxfRwtb7fYXGUh2tDJRBaXobmQC4TuXjm;1LtUBbYp6dbyYLbgqQn3oa1VMAM1Q1thQE;1Lz3hfQF4pM72u5LM9bfVoFY6aJ81yGcjB;1MUdmvpDkk4zfrvVVYsSoQA5mAf9LYBpMJ;1MyraRns5SxhpJYsJk5aq86rZBW4DUamb9;1NA5WzGDbgNF1c36rNYUX1ZZaBmCUcBN48;1NS4us8swRMCHU1VVCr7Q3WKU73sh94uGV;1NtWndcA3sGP5mF2o27B9FQ361GQBUWnr7;1Nxe4RjyP1YSpNZ1sC3rMfvrtHwUsnzzWJ;1PiMr68hpgXremTEyBAoVnCp983HdwSW1W;1RcJeB7PQV2YJ9nJ5kiJcvcDVxhLcUAna;1StUTUfDaZCB85xBytumX3kRm9tArGwcz;1Y1UUVX3WxhPu4ubyz9iygLXcWTBUz5gd;1ZKiU6dst72FoFExGkAdDD6HewyJLKhpq;1zxyxbuSaXNyh5yL3r19hZpdbCLPE5dhL;33m2ajTDvqGJcWb642dtqrLjQoDtx5yfyY;383j1TT65MvQQWFDMr95dKCt3fNbeRgHvu;3BmmXszD23RMYcXUiTBw75F1unW56E4Er8;3CxP7S42hjveJvWFs68e8DkBpasdGqfsRN;3G7doUnLty3N3H4LBnfoW4VrtyP6L3gVxF;3GMbpN1cpuCEMGBkwtf2CqA7m7XAHa3UMr;3GNyGfRwb3EZhtbwRDfUCfvFEsPvj4x2Zp;3Gj1dNZq9bYYL558t51T7eRwo7Fv9pDjPm;3Gm9Ksb1LcZe2QmdPHfv17WwDSUpzGRm41;3LUsFuGPcMMHbAhkGQiYbviMHenmq3Qmf5;3N1GuZAgKmg6gn4Q1RkEN7pAjg89xGmjrJ;3N8oH2psKk6Up6GU9tnwSA96bmbL9bSJXc;3Npf2g5fM2ucFz5e6WNHmDmtiF2ymN7NQ2;3PrxnbrWiu11q7bLCzvJXdTkJ9mYH7yaf3,0,6080890,3131379806,3119790555,6080890,0.0608089,5508361,0.05508361,64,77,23146,56083,1,0,https://mempool.space/tx/9f68d6ee3e7381ecd7e0bc9bc665dc244c8bee3a31702a53b1b28f5cc7ab3fda
2026-03-11T18:26:45Z,72e82ba15865acaaa7dc917dc0a98ef5a144a63ba0844bcd5fff2745c9792caf,True,940296,00000000000000000000a26f6a0ee2f3342eb2a8d0efdef38fc2448c8023f6cd,3MsKunajhP5rpiJMURu9ZcWgCKZ5PRL26t,3L25BzKLYxAB3rTfsaLUoQywSp6xLPvr7a,,bc1q9s7hrcmmgwj8scaglalp05kn5t7cv7w6cc88fx,6080890,5981685,0,98871,-99205,-0.00099205,334,0.00000334,1,2,246,657,2,0,https://mempool.space/tx/72e82ba15865acaaa7dc917dc0a98ef5a144a63ba0844bcd5fff2745c9792caf
