bitstamp_source_file,bitstamp_source_row,bitstamp_datetime_utc,amount,coin,wallet_receipt_datetime_utc,delay_seconds,to_wallet,transaction_hash,match_basis,confidence
יולי אוגוסט.csv,5,2017-08-20T14:42:05Z,0.12421232,ETH,2017-08-20T14:42:18Z,13,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xfb2182f8a3c0640505dc213a57663d48e525c66b96e841c8abe62120756e76fc,exact coin and amount plus near-identical time,exact
יולי אוגוסט.csv,6,2017-08-20T15:13:55Z,5,ETH,2017-08-20T15:14:14Z,19,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0xaf8fc667e7482e1d7e8ba63fb977bae0af9663ce9148bd2b945bd0f6a87c0f3d,exact coin and amount plus near-identical time,exact
ספאוקנוב.csv,2,2017-09-04T07:21:00Z,3.94414191,ETH,2017-09-04T07:24:07Z,187,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x8d8034dd5292afbc2eb87db3007fd21ef75c4e0802ba45671b83543d3c21a993,exact coin and amount plus three-minute settlement delay,exact
ספאוקנוב.csv,5,2017-09-10T08:06:00Z,6.84111000,ETH,2017-09-10T08:06:21Z,21,0xDd99152be8F2C02ce69F5710d38C7c8b1E10aA5f,0x1397edd5e9afa5a869406cf1d53d91b70048fe042e0a45db9da884f2409a160b,exact coin and amount plus near-identical time,exact
דצינופב.csv,3,2017-12-02T19:46:00Z,0.04300000,ETH,2017-12-02T19:47:04Z,64,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,0x7bbaf94acfed626f83cb8218f1eb61e28e44d17b5fb7749e6539dc178df42268,exact coin and amount plus one-minute settlement delay,exact
דצינופב.csv,4,2017-12-02T20:08:00Z,0.60000000,ETH,2017-12-02T20:09:07Z,67,0x677878F16c6c7D6fA72510F7fbE355D1eaE276D0,0xe816869b512c6106ce19670391c6f764aec535b6a9395a3d546ac19b88c3ec95,exact coin and amount plus one-minute settlement delay,exact
דצינופב.csv,21,2017-12-14T10:48:00Z,0.06080890,BTC,2017-12-14T10:55:27Z,447,3MsKunajhP5rpiJMURu9ZcWgCKZ5PRL26t,9f68d6ee3e7381ecd7e0bc9bc665dc244c8bee3a31702a53b1b28f5cc7ab3fda,exact coin and amount in a batched Bitcoin payout seven minutes later,exact
